ID,MUNICIPALITE,NOM,TYPE,OBJECTID,SHAPE__Area,SHAPE__Length
1640,43027,Parc Laurier-Bernard,Ilot de verdure,122,1198.4609375,171.938013398986
1641,43027,Parc Dolor-Biron,Ilot de verdure,123,1589.78515625,190.077441531094
1642,43027,Parc Léo-Paul-Boissé,Ilot de verdure,124,1586.72265625,179.940735876161
1643,43027,Parc des Jeunes,Ilot de verdure,125,1537.26953125,167.039376463816
1644,43027,Parc Tessier,Ilot de verdure,126,1341.3203125,163.588633967051
1645,43027,Parc Civic,Ilot de verdure,127,1290.6484375,144.559753684472
1646,43027,Îlots de la Scaswan,Réserve naturelle,128,1026.60546875,222.509915633609
1647,43027,Belvédère d'Hydro-Sherbrooke,Parc riverain,129,964.26953125,125.751599202418
1648,43027,Parc de Monseigneur-Letendre,Placette,130,814.80078125,152.65388364031
1649,43027,Parc Belmont,Ilot de verdure,131,336.12890625,77.6907623248259
1650,43027,Parc Saint-Paul,Placette,132,688.43359375,123.076927083541
1651,43027,Parc des Vétérans,Ilot de verdure,133,670.578125,109.663210201475
1652,43027,Belvédère Koatek,Parc riverain,134,659.94921875,131.835280614197
1653,43027,Terrasse Frontenac,Parc riverain,135,499.125,177.377457255426
1656,43027,Halte des Pionniers,Placette,136,260.21875,64.9861897407438
1657,43027,Îlots de la Scaswan,Réserve naturelle,137,255.14453125,89.4043757836096
1658,43027,Parc du Petit-Canada,Placette,138,1557.78515625,173.485852005966
1659,43027,Parc Frédéric,Parc de voisinage,139,21167.14453125,610.420179658219
1660,43027,Parc de Marie-Médiatrice,Parc de quartier,140,48501.31640625,1095.08679158358
1661,43027,Parc de la Plage-Municipale,Parc urbain,141,81111.19921875,1535.93934105436
1662,43027,Parc de l'Ancienne-Prison,Ilot de verdure,142,7346.09765625,516.332957795325
1665,43027,Parc Lionel-Lord,Parc de voisinage,143,16290.26953125,599.214678922786
1666,43027,Parc Alexander-Clark-Ross,Ilot de verdure,144,597.8359375,116.400128583844
1667,43027,Parc du Vandal-Blanc,Parc de voisinage,145,7276.6640625,359.191673964284
1668,43027,Parc Félix-Thibault,Placette,146,1228.640625,140.701280519042
1669,43027,Parc Quintal,Parc urbain,147,296632.76171875,2279.13099302144
1670,43027,Parc Marguerite-Bourgeoys,Parc de voisinage,148,15772.9609375,570.666873446846
1671,43027,Parc Arthur-Tardif,Parc de voisinage,149,7349.8828125,340.500117905108
1672,43027,Parc du Bois-Beckett,Parc naturel,150,2825724.3125,12389.7562279444
1673,43027,Parc Maillé,Parc de quartier,151,46243.09375,1142.9430958502
1674,43027,Parc de l'Escarpe,Parc de voisinage,152,18342.2265625,588.899545360017
1675,43027,Parc Arsène-Goyette,Parc de quartier,153,33521.609375,917.871445152942
1676,43027,Parc Louis-Luc,Ilot de verdure,154,1775.578125,177.029898402797
1677,43027,Parc du Trianon,Parc riverain,155,2779.06640625,221.716554734119
1685,43027,Parc Arthur-Buies,Ilot de verdure,156,17848.39453125,1312.34376180091
1686,43027,Parc des Géographes,Parc de voisinage,157,74435.48828125,1549.05058476641
1687,43027,Parc Armand-Duplessis,Parc naturel,158,765191.5859375,3627.21688582351
1689,43027,Parc Charles-Émile-Gadbois,Parc de voisinage,159,24799.6796875,928.031140700152
1692,43027,Parc des Pyrénées,Parc de voisinage,160,93602.53515625,1804.18066654152
1696,43027,Parc Carmen-Savoie,Parc de voisinage,161,3074.29296875,297.276094041358
1709,43027,Base de plein air André-Nadeau,Parc urbain,162,1082924.16796875,6909.66955538322
1710,43027,Parc de Charette,Parc de voisinage,163,12858.57421875,477.383640863621
1724,43027,Parc Saint-Thomas,Ilot de verdure,164,2708.81640625,273.541087178048
1743,43027,Parc Nagle,Parc naturel,165,60415.58203125,1411.94000600194
1744,43027,Parc Noé-Ponton,Ilot de verdure,166,21336.296875,667.208683308697
1756,43027,Parc Alfred-Demers,Ilot de verdure,167,9421.52734375,405.135785046829
1758,43027,Parc de l'Ancien-Chemin-de-Fer,Parc de voisinage,168,31049.4609375,714.067808557092
1760,43027,Parc Edward-Worthington,Parc naturel,169,215788.23828125,3982.25513578336
1766,43027,Parc du Barrage,Parc riverain,170,3010.453125,265.877199463688
1775,43027,Parc François-Xavier-Luc,Parc de voisinage,171,11064.57421875,433.610157449256
1776,43027,Parc Rita-Desclos,Parc de voisinage,172,39481.2578125,783.174848484607
1777,43027,Parc Gilles-Paradis,Parc de voisinage,173,10957.125,546.033442173176
1778,43027,Parc des Chrysanthèmes,Ilot de verdure,174,9039.58203125,400.512403264861
1779,43027,Parc Dominique-Viscogliosi,Parc de voisinage,175,15241.98828125,563.274743680336
1781,43027,Parc du Boisé-Fabi,Parc naturel,176,276026.921875,3579.03112740515
1791,43027,Parc Annette-Charest,Parc de voisinage,177,104644.53125,2810.62985046341
1793,43027,Parc Roger-Gingues,Parc de voisinage,178,43970.68359375,1068.15881936814
1794,43027,Parc Irma-LeVasseur,Parc de voisinage,179,19267.09765625,647.785938293141
1795,43027,Parc Thérèse-Lecomte,Parc de voisinage,180,36246.3359375,877.745152372274
1796,43027,Parc du Cheptel,Parc de voisinage,181,24669.71875,831.319593136252
1797,43027,Parc Normand-Dussault,Parc de voisinage,182,46184.3359375,1155.37323673505
1798,43027,Parc Ralph-Gustafson,Parc de voisinage,183,18967.89453125,558.833648180169
1799,43027,Parc Diane-Vaillancourt,Parc de voisinage,184,5228.953125,292.032839424327
1800,43027,Parc Valmore-Olivier,Parc de voisinage,185,6406.28125,350.675852291782
1804,43027,Parc de Newington,Parc de voisinage,186,7218.12890625,406.302505356692
1814,43027,Parc d'Amboise,Parc de voisinage,187,32208.4140625,1063.87689604845
1817,43027,Parc Yousuf-Karsh,Parc de voisinage,188,18959.41796875,572.037708873267
1818,43027,Parc André-Nault,Parc naturel,189,1395988.70703125,11077.916936778
1821,43027,Parc Claire-Guillemette-Lamirande,Parc de voisinage,190,15868.9609375,630.452832642737
1823,43027,Parc Antoinette-Guinebretière,Parc de quartier,191,257554.17578125,3050.60588397548
1863,43027,Parc Irène-Ducharme,Parc de voisinage,192,46183.12890625,1080.10683426756
1867,43027,Parc Pierre-Dansereau,Parc de voisinage,193,8120.2890625,361.934821133446
1869,43027,Parc Carrie-Derick,Parc de voisinage,194,8542.5078125,385.609407680085
1663,43027,Parc Apollinaire-Dion,Ilot de verdure,195,4964.05859375,312.20523598752
1885,43027,Parc Édouard-Jean-Desruisseaux,Parc de voisinage,196,3092.40234375,244.689004428427
2094,43027,Parc Leonard-Cohen,Parc de voisinage,197,17411.63671875,567.735148597124
2099,43027,Parc des Géologues,Parc de voisinage,198,166608.27734375,2460.48173404466
1541,43027,Parc Lennoxville Optimist,Parc de voisinage,199,11432.0859375,626.742756839598
2102,43027,Halte Massawippi,Parc riverain,200,4007.23046875,333.059486154661
2146,43027,Halte Jacques-Martin,Placette,201,93.93359375,46.7782781576112
2147,43027,Halte Germain-Nault,Placette,202,608.68359375,128.782962985472
2148,43027,Halte du Centenaire,Parc riverain,203,1247.14453125,148.136368576848
2149,43027,Boisé des Centenaires,Parc riverain,204,2768.69921875,215.385449921887
2150,43027,Pointe James-Hoskins,Parc riverain,205,9210.453125,716.765757363656
2152,43027,Halte des Nations,Placette,206,1782.046875,230.986668876545
1621,43027,Carré Strathcona,Placette,207,4935.734375,284.246922861754
1654,43027,Parc Samuel-Foote-Morey,Placette,208,421.23046875,90.9269259376134
2159,43027,Place des Moulins,Placette,209,1145.90625,137.717942379232
2161,43027,Halte Muriel-Brand,Placette,210,17889.48046875,584.908517775874
2162,43027,Halte Roland-Roy,Parc riverain,211,3117.03125,287.670661254013
2163,43027,Halte Roger-Fortier,Placette,212,252.33203125,71.9077493050024
