buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount,postal_prefix,postal_flood_risk,postal_heat_risk,location_fingerprint
792,"ENTREPÔT (MATÉ.INFLAM.), COMPL","3161 Rue  Joseph , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Abri fermé,SUD-OUEST,1918.0,13.25,13.25,11.2,1.0,0.0,0.0,,0.5,0.5,B:SUD-OUEST|S:RUE  JOSEPH
793,"STATION DU DRAIN DES FILTRES,COMP.VERDUN","Avenue  Atwater , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (aqueduc),SUD-OUEST,1918.0,69.56,34.78,53.8,1.0,1.0,0.0,,0.5,0.5,B:SUD-OUEST
794,STATION DE POMPAGE ATWATER (TUNNEL),"3075 Rue  Saint-Patrick , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),SUD-OUEST,1954.0,737.94,309.24,628.0,1.0,2.0,0.0,,0.5,0.5,B:SUD-OUEST|S:RUE  SAINT-PATRICK
795,CENTRE GABRIELLE-ET-MARCEL-LAPALME,"5350 Rue  Lafond , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,ROSEMONT / PETITE-PATRIE,1965.0,4528.4,0.0,4473.1,2.0,1.0,,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  LAFOND
800,TOUR D'EXERCICE CENTRE DE FORM. EST,"6700 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Centre de formation-pompiers,MERCIER/HOCHELAGA/ MAISONNEUVE,1961.0,399.69,48.63,349.42,6.0,1.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  NOTRE-DAME E
801,"MAISON DE FUMÉE, CENTRE DE FORM. EST","6700 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Centre de formation-pompiers,MERCIER/HOCHELAGA/ MAISONNEUVE,1961.0,402.9,136.2,346.97,3.0,1.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  NOTRE-DAME E
802,"TOUR DE CONTROLE,CENTRE DE FORM.EST","6700 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Centre de formation-pompiers,MERCIER/HOCHELAGA/ MAISONNEUVE,1961.0,42.74,21.37,31.42,2.0,0.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  NOTRE-DAME E
803,"ENTREPÔT MAT.INFLAM., C.F. EST","6700 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Entrepôt non-chauffé,MERCIER/HOCHELAGA/ MAISONNEUVE,1961.0,18.91,18.91,15.72,1.0,0.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  NOTRE-DAME E
807,L'ÉDICULE,"4601 Rue  Sherbrooke E, Montréal",PROPRIÉTAIRE,Bâtiment,Commercial,Kiosque,ROSEMONT / PETITE-PATRIE,1967.0,22.0,22.0,22.0,1.0,0.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  SHERBROOKE E
810,CHAMBRE A VANNES LA SALLE (PRISE D'EAU),"8970 Boulevard  LaSalle , Lasalle",PROPRIÉTAIRE,Bâtiment,Industriel,Chambre à vannes (aqueduc),LASALLE,1910.0,987.45,781.79,876.2,2.0,2.0,0.0,,0.5,0.5,B:LASALLE|S:BOULEVARD  LASALLE
811,MAISON DE LA CULTURE MERCIER,"8105 Rue  Hochelaga , Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Maison de la culture,MERCIER/HOCHELAGA/ MAISONNEUVE,1987.0,4970.42,2069.93,4518.8,2.0,2.0,2.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  HOCHELAGA
812,ARCHIDOME DU PARC SAINT-DONAT,"2787 Avenue  Parkville , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Garage remisage non-chauffé,MERCIER/HOCHELAGA/ MAISONNEUVE,1969.0,71.42,71.42,63.78,1.0,0.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:AVENUE  PARKVILLE
814,STATION DE POMPAGE FRANCON (ÉGOUTS),"3701 Rue  Jarry E, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),VILLERAY/ST-MICHEL/PARC-EXTENS,1966.0,395.19,256.19,229.98,1.0,1.0,0.0,,0.5,0.5,B:VILLERAY-SAINT-MICHEL-PARC-EXTENSION|S:RUE  JARRY E
815,STATION DE POMPAGE WELLINGTON,"1305 Rue  Saint-Patrick , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),SUD-OUEST,1933.0,318.42,73.28,247.3,2.0,1.0,0.0,,0.5,0.5,B:SUD-OUEST|S:RUE  SAINT-PATRICK
817,STATION DE POMPAGE CÔTE-DES-NEIGES VIAD.,"7115 Chemin de la Côte-des-Neiges , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (aqueduc),COTE-DES-NEIGES / N-D-DE-GRACE,1930.0,13.0,,13.0,1.0,0.0,,,0.5,0.5,B:COTE-DES-NEIGES / N-D-DE-GRACE
818,STATION DE POMPAGE GRENET (VIADUC),"5780 Rue  Dudemaine , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),AHUNTSIC / CARTIERVILLE,1915.0,47.34,14.2,38.8,1.0,2.0,,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE  DUDEMAINE
819,STATION DE POMPAGE JEAN-TALON (VIADUC),"301 Rue  Jean-Talon O, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),VILLERAY/ST-MICHEL/PARC-EXTENS,1933.0,13.0,,13.0,,,0.0,,0.5,0.5,B:VILLERAY-SAINT-MICHEL-PARC-EXTENSION|S:RUE  JEAN-TALON O
822,STATION DE POMPAGE ST-DENIS (VIADUC),"5723 Rue  Saint-Denis , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),ROSEMONT / PETITE-PATRIE,1933.0,13.0,,13.0,,,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  SAINT-DENIS
824,STATION DE POMPAGE ST-RÉMI (VIADUC),"Rue  Saint-Rémi , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),SUD-OUEST,1930.0,13.0,,13.0,,,0.0,,0.5,0.5,B:SUD-OUEST
825,STATION DE POMPAGE AUTOROUTE (VIADUC),"2901 Rue  De Salaberry , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),AHUNTSIC / CARTIERVILLE,1985.0,34.55,17.15,22.0,1.0,1.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE  DE SALABERRY
826,CHAMBRE A VANNES ROCKFIELD,"Rue  Saint-Joseph , Lachine",PROPRIÉTAIRE,Bâtiment,Industriel,Chambre à vannes (égouts),LACHINE,1960.0,177.2,177.2,157.0,1.0,,0.0,,0.5,0.5,B:LACHINE
827,"GUÉRITE ,C.S.M. JARRY (FRANCON)","Rue  Jarry E, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Guérite,VILLERAY/ST-MICHEL/PARC-EXTENS,1956.0,9.42,9.42,9.42,1.0,0.0,0.0,,0.5,0.5,B:VILLERAY-SAINT-MICHEL-PARC-EXTENSION
