buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount,postal_prefix,postal_flood_risk,postal_heat_risk,location_fingerprint
1,HÔTEL DE VILLE DE MONTRÉAL,"275 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,VILLE-MARIE,1878.0,23379.29,3612.19,20009.0,5.0,2.0,6.0,,0.5,0.5,B:VILLE-MARIE|S:RUE  NOTRE-DAME E
2,EDIFICE GOSFORD COUR MUNICIPALE,"775 Rue  Gosford , Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,VILLE-MARIE,1913.0,25394.6,2969.31,22394.3,8.0,2.0,12.0,,0.5,0.5,B:VILLE-MARIE|S:RUE  GOSFORD
5,MARCHE BONSECOURS,"330 Rue  Saint-Paul E, Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Local commercial,VILLE-MARIE,1847.0,16221.22,3163.23,11278.82,4.0,3.0,2.0,,0.5,0.5,B:VILLE-MARIE|S:RUE  SAINT-PAUL E
6,VESPASIENNE,"3425 Avenue  Émile-Duployé , Montréal",PROPRIÉTAIRE,Bâtiment vacant,Loisir communautaire,Abri fermé,PLATEAU MONT-ROYAL,1931.0,147.55,73.99,116.97,1.0,1.0,0.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL
12,ÉDIFICE LUCIEN-SAULNIER,"155 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,VILLE-MARIE,1857.0,14218.37,2922.54,12593.18,6.0,1.0,4.0,,0.5,0.5,B:VILLE-MARIE|S:RUE  NOTRE-DAME E
13,VESPASIENNE (EX) PLACE D'ARMES,"504 Place d' Armes , Montréal",PROPRIÉTAIRE,Bâtiment,Commercial,Marché public,VILLE-MARIE,1981.0,9.0,,9.0,,1.0,0.0,,0.5,0.5,B:VILLE-MARIE|S:PLACE D' ARMES
18,PAVILLON DES BAIGNEURS DON-BOSCO,"12600 Avenue  Rita-Levi-Montalcini , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,R-D-P / P-A-T,1974.0,782.6,391.7,729.39,1.0,1.0,0.0,,0.5,0.5,B:R-D-P / P-A-T|S:AVENUE  RITA-LEVI-MO
19,THÉÂTRE EMPRESS (CINÉMA V),"5550 Rue  Sherbrooke O, Montréal",PROPRIÉTAIRE,Bâtiment vacant,Culturel,Théâtre,COTE-DES-NEIGES / N-D-DE-GRACE,1928.0,5852.89,1.0,2909.02,1.0,,,,0.5,0.5,B:COTE-DES-NEIGES / N-D-DE-GRACE|S:RUE  SHERBROOKE O
21,MUSÉE POINTE-À-CALLIÈRE-MAISON DOUANE,"150 Rue  Saint-Paul O, Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Lieu d'exposition,VILLE-MARIE,1838.0,1771.01,434.6,1490.74,2.0,2.0,,,0.5,0.5,B:VILLE-MARIE|S:RUE  SAINT-PAUL O
23,CHALET DU PARC ST-GABRIEL (PATAUG.),"2355 Rue  Mullins , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,SUD-OUEST,1976.0,176.8,131.78,153.46,1.0,1.0,0.0,,0.5,0.5,B:SUD-OUEST|S:RUE  MULLINS
24,CENTRE COMMUNAUTAIRE OGILVY,"821 Avenue  Ogilvy , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,VILLERAY/ST-MICHEL/PARC-EXTENS,1910.0,544.36,268.84,392.0,1.0,1.0,0.0,,0.5,0.5,B:VILLERAY-SAINT-MICHEL-PARC-EXTENSION|S:AVENUE  OGILVY
25,ÉDIFICE DU 200 BELLECHASSE,"200 Rue de Bellechasse , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Caserne de pompiers,ROSEMONT / PETITE-PATRIE,1929.0,16057.41,10096.31,15577.4,3.0,1.0,2.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE DE BELLECHASSE
28,CHALET DU PARC JEAN-AMYOT (PATAUG.),"6110 Rue de Marseille , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,MERCIER/HOCHELAGA/ MAISONNEUVE,1976.0,916.81,324.42,823.0,2.0,1.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE DE MARSEILLE
29,CHALET DU PARC DE NORMANVILLE,"7470 Rue  De Normanville , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Centre communautaire et loisir,VILLERAY/ST-MICHEL/PARC-EXTENS,1976.0,920.86,324.42,820.1,2.0,1.0,0.0,,0.5,0.5,B:VILLERAY-SAINT-MICHEL-PARC-EXTENSION|S:RUE  DE NORMANVILLE
30,CHALET DU PARC VINET,"550 Rue  Vinet , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,SUD-OUEST,1976.0,908.94,321.8,811.3,2.0,1.0,0.0,,0.5,0.5,B:SUD-OUEST|S:RUE  VINET
31,CHALET DUQUESNE,"5005 Rue  Du Quesne , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,MERCIER/HOCHELAGA/ MAISONNEUVE,1958.0,376.88,225.25,322.1,2.0,1.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  DU QUESNE
32,CASERNE NO 14,"8216 Boulevard  Maurice-Duplessis , Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Caserne de pompiers,R-D-P / P-A-T,2004.0,1251.52,0.0,1148.12,2.0,,,,0.5,0.5,B:R-D-P / P-A-T|S:BOULEVARD  MAURICE-D
33,GUERITE D'ENTRÉE DU C.S.M. DICKSON,"2060 Rue  Dickson , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Guérite,MERCIER/HOCHELAGA/ MAISONNEUVE,1982.0,3.48,3.48,2.6,1.0,0.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  DICKSON
34,STATION DE POMPAGE LAVIGNE (ÉGOUTS),"4799 Boulevard  Gouin O, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),AHUNTSIC / CARTIERVILLE,1959.0,160.61,69.83,133.3,1.0,3.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:BOULEVARD  GOUIN O
35,STATION DE POMPAGE BEAUSÉJOUR (ÉGOUTS),"7455 Boulevard  Gouin O, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),AHUNTSIC / CARTIERVILLE,1958.0,156.66,22.38,118.2,1.0,6.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:BOULEVARD  GOUIN O
36,CHALET FLEURY DU PARC DES HIRONDELLES,"2574 Rue  Fleury E, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,AHUNTSIC / CARTIERVILLE,1956.0,450.96,156.44,406.56,2.0,1.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE  FLEURY E
37,CASERNE NO 49,"10 Rue  Chabanel O, Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Caserne de pompiers,AHUNTSIC / CARTIERVILLE,1954.0,1164.86,546.07,1058.13,2.0,1.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE  CHABANEL O
38,CASERNE NO 35 & DSST,"10827 Rue  Lajeunesse , Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Caserne de pompiers,AHUNTSIC / CARTIERVILLE,1929.0,1581.12,598.57,1426.47,3.0,1.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE  LAJEUNESSE
39,CASERNE NO 43,"1945 Rue  Fleury E, Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Caserne de pompiers,AHUNTSIC / CARTIERVILLE,1949.0,1224.89,401.78,835.47,2.0,1.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE  FLEURY E
42,"ABRIS REMONTE-PENTE, PARC CABRINI","6380 Rue de Cadillac (MTL) , Montréal",PROPRIÉTAIRE,Bâtiment vacant,Loisir communautaire,Abri fermé,MERCIER/HOCHELAGA/ MAISONNEUVE,,20.16,,17.5,1.0,0.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE DE CADILLAC (MTL
43,CHALET DU PARC AHUNTSIC (PATAUG.),"10555 Rue  Lajeunesse , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,AHUNTSIC / CARTIERVILLE,1957.0,507.29,406.67,472.53,1.0,1.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE  LAJEUNESSE
44,LABORATOIRE COUR DE LOUVAIN,"999 Rue de Louvain E, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Laboratoire,AHUNTSIC / CARTIERVILLE,1966.0,4062.66,1307.38,3932.5,2.0,1.0,1.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE DE LOUVAIN E
45,PAVILLON DES BAIGNEURS GABRIEL-LALEMANT,"2350 Rue  Sauvé E, Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,AHUNTSIC / CARTIERVILLE,1962.0,356.88,282.98,325.4,1.0,0.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE
46,CHALET DU PARC GABRIEL-LALEMANT,"2244 Rue  Sauvé E, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,AHUNTSIC / CARTIERVILLE,1963.0,548.79,431.47,492.5,1.0,1.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE
47,"ABRI OUVERT, PARC LOUIS-HÉBERT","1535 Boulevard  Gouin E, Montréal",PROPRIÉTAIRE,Installation externe,Loisir communautaire,Abri ouvert,AHUNTSIC / CARTIERVILLE,1958.0,82.0,,82.0,,,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:BOULEVARD  GOUIN E
48,CHALET DU PARC LEFEBVRE,"12225 Rue  Cousineau , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,AHUNTSIC / CARTIERVILLE,1961.0,79.57,79.57,67.4,1.0,0.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE  COUSINEAU
50,CHALET DU PARC NICOLAS-VIEL,"95 Boulevard  Gouin O, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,AHUNTSIC / CARTIERVILLE,1961.0,79.57,79.57,67.4,1.0,0.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:BOULEVARD  GOUIN O
51,CHALET DU PARC RAIMBAULT,"12377 Rue  Notre-Dame-des-Anges , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,AHUNTSIC / CARTIERVILLE,1958.0,169.62,190.48,157.67,1.0,1.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE  NOTRE-DAME-DES-
52,PAVILLON DES BAIGNEURS MARCELIN-WILSON,"1655 Rue  Dudemaine , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,AHUNTSIC / CARTIERVILLE,1962.0,341.97,341.97,307.9,1.0,0.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE  DUDEMAINE
54,ENTREPÔT MAGASIN COUR MADISON.,"6333 Rue  Saint-Jacques , Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,COTE-DES-NEIGES / N-D-DE-GRACE,1955.0,94.59,94.59,74.8,1.0,0.0,0.0,,0.5,0.5,B:COTE-DES-NEIGES / N-D-DE-GRACE|S:RUE  SAINT-JACQUES
55,CHALET DU PARC DES VÉTÉRANS (PATAUG.),"1655 Avenue  Papineau , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,VILLE-MARIE,1955.0,253.01,257.66,224.28,1.0,0.0,0.0,,0.5,0.5,B:VILLE-MARIE|S:AVENUE  PAPINEAU
57,CASERNE NO 05 (EX-POSTE 33),"75 Rue  Ontario E, Montréal",COPROPRIÉTAIRE,Bâtiment,Protection et sécurité,Caserne de pompiers,VILLE-MARIE,1963.0,5707.11,1899.9,5281.96,2.0,1.0,0.0,,0.5,0.5,B:VILLE-MARIE|S:RUE  ONTARIO E
59,CHALET DU PARC TOUSSAINT-LOUVERTURE,"137 Boulevard de Maisonneuve E, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,VILLE-MARIE,1961.0,250.77,207.7,216.3,1.0,1.0,0.0,,0.5,0.5,B:VILLE-MARIE|S:BOULEVARD DE MAISONN
62,CASERNE NO 13,"3250 Rue  Sainte-Catherine E, Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Caserne de pompiers,MERCIER/HOCHELAGA/ MAISONNEUVE,1963.0,1471.33,567.27,1319.88,3.0,1.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  SAINTE-CATHERIN
63,"ABRI OUVERT, PARC HOCHELAGA","3338 Rue  La Fontaine , Montréal",PROPRIÉTAIRE,Installation externe,Loisir communautaire,Abri ouvert,MERCIER/HOCHELAGA/ MAISONNEUVE,1932.0,83.0,83.0,83.0,1.0,0.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  LA FONTAINE
64,ARÉNA HOWIE-MORENZ,"8650 Avenue  Querbes , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Aréna,VILLERAY/ST-MICHEL/PARC-EXTENS,1979.0,3772.41,884.94,3666.53,1.0,1.0,0.0,,0.5,0.5,B:VILLERAY-SAINT-MICHEL-PARC-EXTENSION|S:AVENUE  QUERBES
65,CENTRE CALIXA-LAVALLÉE,"3819 Avenue  Calixa-Lavallée , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,PLATEAU MONT-ROYAL,1932.0,1786.27,549.99,1534.2,2.0,1.0,1.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL
66,THÉÂTRE DE VERDURE,"4020 Avenue du Parc-La Fontaine , Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Théâtre,PLATEAU MONT-ROYAL,1954.0,181.2,181.2,122.3,1.0,0.0,0.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL|S:AVENUE DU PARC-LA FO
68,CHALET-RESTAURANT,"3933 Avenue du Parc-La Fontaine , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,PLATEAU MONT-ROYAL,1952.0,2642.51,787.66,2318.49,3.0,2.0,1.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL|S:AVENUE DU PARC-LA FO
70,PAVILLON DES BAIGNEURS PISC.MAISONNEUVE,"4350 Rue de Rouen , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,MERCIER/HOCHELAGA/ MAISONNEUVE,2001.0,255.8,,233.4,1.0,,,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE DE ROUEN
72,GUICHET DU TENNIS,"3500 Avenue  Émile-Duployé , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Kiosque,PLATEAU MONT-ROYAL,1960.0,9.23,,7.3,,,0.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL
73,CHALET DU PARC PIERRE-BÉDARD (PATAUG.),"5855 Rue  Turenne , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,MERCIER/HOCHELAGA/ MAISONNEUVE,1966.0,128.4,128.4,112.6,1.0,0.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  TURENNE
74,"ENTREPÔT, JARDIN BOTANIQUE","4101 Rue  Sherbrooke E, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Entrepôt chauffé,ROSEMONT / PETITE-PATRIE,1979.0,385.12,,366.86,1.0,0.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  SHERBROOKE E
75,PAVILLON DES BAIGNEURS,"1450 Rue  Rachel E, Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,PLATEAU MONT-ROYAL,1962.0,134.77,134.77,117.1,1.0,0.0,0.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL|S:RUE  RACHEL E
76,CHALET DU PARC DE LA LOUISIANE,"4644 Rue  Beaubien E, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,ROSEMONT / PETITE-PATRIE,1966.0,294.05,194.28,264.82,1.0,1.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  BEAUBIEN E
77,CASERNE NO 30 ET MUSÉE DES POMPIERS AUX.,"5 Avenue  Laurier O, Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Caserne de pompiers,PLATEAU MONT-ROYAL,1905.0,2192.26,619.05,1767.5,3.0,1.0,0.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL|S:AVENUE  LAURIER O
79,CASERNE NO 26,"2151 Avenue du Mont-Royal E, Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Caserne de pompiers,PLATEAU MONT-ROYAL,1901.0,1346.26,449.36,1201.08,3.0,1.0,0.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL|S:AVENUE DU MONT-ROYAL
80,CHALET DU PARC DE LOUISBOURG,"5455 Rue de Louisbourg , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,AHUNTSIC / CARTIERVILLE,1966.0,291.99,191.3,259.75,1.0,1.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:RUE DE LOUISBOURG
81,CHALET DU PARC COFFEE,"7330 Rue  Coffee , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,COTE-DES-NEIGES / N-D-DE-GRACE,1966.0,117.6,117.6,98.0,1.0,0.0,0.0,,0.5,0.5,B:COTE-DES-NEIGES / N-D-DE-GRACE|S:RUE  COFFEE
82,CHALET DU PARC BALDWIN,"4355 Rue  Fullum , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,PLATEAU MONT-ROYAL,1964.0,392.38,333.7,333.7,1.0,1.0,0.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL|S:RUE  FULLUM
83,CHALET DU PARC SAINT-PIERRE-CLAVER,"2335 Rue  Gilford , Montréal",PROPRIÉTAIRE,Bâtiment vacant,Loisir communautaire,Chalet,PLATEAU MONT-ROYAL,1951.0,156.85,156.85,140.8,1.0,0.0,0.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL|S:RUE  GILFORD
84,CCSE MAISONNEUVE,"4375 Rue  Ontario E, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,MERCIER/HOCHELAGA/ MAISONNEUVE,1914.0,3437.88,1368.13,3198.2,3.0,1.0,1.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  ONTARIO E
85,CHALET DU PARC JEAN-BRILLANT (PATAUG.),"5252 Avenue  Decelles , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,COTE-DES-NEIGES / N-D-DE-GRACE,1966.0,128.4,128.4,112.6,1.0,0.0,0.0,,0.5,0.5,B:COTE-DES-NEIGES / N-D-DE-GRACE|S:AVENUE  DECELLES
86,PAVILLON NELSON-MANDELA,"4920 Rue  Vézina , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,COTE-DES-NEIGES / N-D-DE-GRACE,1966.0,319.58,319.58,288.68,1.0,0.0,0.0,,0.5,0.5,B:COTE-DES-NEIGES / N-D-DE-GRACE
87,CENTRE SPORTIF PIERRE-CHARBONNEAU,"2980 Rue  Viau , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Gymnase,MERCIER/HOCHELAGA/ MAISONNEUVE,1958.0,18790.58,7187.78,15068.9,5.0,2.0,3.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  VIAU
88,ÉDIFICE MARIE-VICTORIN,"4101 Rue  Sherbrooke E, Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,ROSEMONT / PETITE-PATRIE,1938.0,14293.88,,12910.3,3.0,1.0,4.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  SHERBROOKE E
89,"SERRES D'EXPO. & SERV., JARDIN BOTANIQUE","4101 Rue  Sherbrooke E, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Serre de service et production,ROSEMONT / PETITE-PATRIE,1957.0,12550.72,,12154.23,1.0,1.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  SHERBROOKE E
90,CHALET DU PARC WILLIAM-BOWIE,"4955 Avenue  Trenholme , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,COTE-DES-NEIGES / N-D-DE-GRACE,1966.0,131.55,131.55,113.54,1.0,0.0,0.0,,0.5,0.5,B:COTE-DES-NEIGES / N-D-DE-GRACE|S:AVENUE  TRENHOLME
91,"CHAUFFERIE & ATELIER, JARDIN BOTANIQUE","4101 Rue  Sherbrooke E, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Chaufferie,ROSEMONT / PETITE-PATRIE,1939.0,2309.16,,2122.8,1.0,1.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  SHERBROOKE E
92,"RESTAURANT, JARDIN BOTANIQUE","4455 Boulevard  Pie-IX , Montréal",PROPRIÉTAIRE,Bâtiment,Commercial,Restaurant,ROSEMONT / PETITE-PATRIE,1956.0,688.04,341.69,613.71,1.0,1.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:BOULEVARD  PIE-IX
95,COMPLEXE SPORTIF CLAUDE-ROBILLARD,"1000 Avenue  Émile-Journault E, Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Espace sports/loisirs,AHUNTSIC / CARTIERVILLE,1976.0,49577.0,20707.7,46742.9,4.0,2.0,6.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE
96,CHALET DU PARC CHAMPÊTRE,"411 Avenue  Letourneux , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,MERCIER/HOCHELAGA/ MAISONNEUVE,1914.0,394.7,394.7,394.7,1.0,1.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:AVENUE  LETOURNEUX
97,BÂTIMENT DE SERVICE,"4601 Rue  Sherbrooke E, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Atelier / Esp. bureau,ROSEMONT / PETITE-PATRIE,1953.0,438.52,438.52,408.5,1.0,0.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  SHERBROOKE E
98,MAISON DE LA CULT. MAISONN.(EX-CAS. 45),"4200 Rue  Ontario E, Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Maison de la culture,MERCIER/HOCHELAGA/ MAISONNEUVE,1907.0,2124.65,589.42,1906.3,3.0,1.0,1.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  ONTARIO E
99,CHALET DU PARC MAISONNEUVE,"4601 Rue  Sherbrooke E, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,ROSEMONT / PETITE-PATRIE,1966.0,1660.48,833.84,1588.4,1.0,1.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  SHERBROOKE E
100,BIBLIOTHEQUE MAISONNEUVE,"4120 Rue  Ontario , Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Bibliothèque,MERCIER/HOCHELAGA/ MAISONNEUVE,1911.0,4855.66,1420.06,3681.5,2.0,1.0,1.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  ONTARIO
101,BAIN MORGAN & CENTRE MORGAN,"1875 Avenue  Morgan , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Piscine intérieure,MERCIER/HOCHELAGA/ MAISONNEUVE,1916.0,2457.38,982.31,2141.6,2.0,1.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:AVENUE  MORGAN
103,CHALET DU PARC MORGAN,"4370 Rue  Sainte-Catherine E, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,MERCIER/HOCHELAGA/ MAISONNEUVE,1931.0,137.08,137.03,118.63,1.0,0.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  SAINTE-CATHERIN
104,CASERNE NO 47 (MAIS.CULT.PETITE PATRIE),"2111 Rue  Saint-Zotique E, Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Caserne de pompiers,ROSEMONT / PETITE-PATRIE,1931.0,3291.93,911.35,2941.5,3.0,1.0,1.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  SAINT-ZOTIQUE E
105,ÉDIFICE DU 1500 DES CARRIÈRES,"1500 Rue des Carrières , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Atelier / Esp. bureau,ROSEMONT / PETITE-PATRIE,1929.0,12025.06,5227.64,10323.12,5.0,1.0,1.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE
106,ÉDIFICE DU 1400-1402 DES CARRIÈRES,"1400 Rue des Carrières , Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,ROSEMONT / PETITE-PATRIE,1960.0,1414.21,934.62,1333.82,2.0,1.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE
107,ÉDIFICE DU 1650 DES CARRIÈRES,"1610 Rue des Carrières , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Espace à bureaux,ROSEMONT / PETITE-PATRIE,1960.0,3250.18,1731.51,2974.63,2.0,1.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE
109,ÉDIFICE DU 1351 DES CARRIÈRES,"1351 Rue des Carrières , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Atelier / Esp. bureau,ROSEMONT / PETITE-PATRIE,1956.0,335.62,335.62,304.1,1.0,0.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE
110,CENTRE SPORTIF PÈRE-MARQUETTE,"1600 Rue  De Drucourt , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Espace sports/loisirs,ROSEMONT / PETITE-PATRIE,1960.0,7526.87,4080.15,7162.36,1.0,2.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE  DE DRUCOURT
111,ÉDIFICE DU 1220 DES CARRIÈRES,"1220 Rue des Carrières , Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,ROSEMONT / PETITE-PATRIE,1958.0,880.09,438.3,514.3,1.0,1.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE
