buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount,postal_prefix,postal_flood_risk,postal_heat_risk,priority_score,priority_level,score_age_risk,score_size_impact,score_energy_risk,score_climate_risk,score_social_vulnerability,score_floor_count_norm,score_has_basement,estimated_ges_reduction,building_age,age_category
4232,JEU D'EAU DU PARC LEROUX,"7540 Rue  Centrale (LSL) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,LASALLE,,339.0,0.0,339.0,,,,,0.5,0.5,59.41557789933134,Medium,0.7,0.5,0.5,0.5,0.6,0.1,0,0.0,,
4233,PATAUG./ JEU D'EAU DU PARC BOURBONNIÈRE,"Rue  Cazeneuve (SLR) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Pataugeoire,SAINT-LAURENT,,247.44,0.0,247.44,,,,,0.5,0.5,59.41557789933134,Medium,0.7,0.5,0.5,0.5,0.6,0.1,0,0.0,,
4234,PISCINE EXT. DU PARC BOURBONNIÈRE,"Rue  Cazeneuve (SLR) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Piscine extérieure,SAINT-LAURENT,,400.0,0.0,400.0,,,,,0.5,0.5,78.74149318536402,High,0.7,0.5,0.6666666666666666,0.5,0.6,0.1,0,0.0,,
4235,PATAUGEOIRE DU PARC PAINTER,"Rue  Marcotte (SLR) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Pataugeoire,SAINT-LAURENT,,220.0,0.0,220.0,,,,,0.5,0.5,59.41557789933134,Medium,0.7,0.5,0.5,0.5,0.6,0.1,0,0.0,,
4244,REMISE DE LA PLAGE PUBLIQUE,"205 Chemin du Cap-Saint-Jacques (PFD) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Abri fermé,PIERREFONDS/ROXBORO,,4.9,0.0,4.9,1.0,,,,0.5,0.5,42.022254141901925,Medium,0.7,0.5,0.45,0.5,0.4,0.1,0,0.0,,
4259,JEU D'EAU DU PARC LAWRENCE,"Rue  Beyries (LSL) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,LASALLE,,339.0,0.0,339.0,,,,,0.5,0.5,59.41557789933134,Medium,0.7,0.5,0.5,0.5,0.6,0.1,0,0.0,,
4277,PATAUGEOIRE DU PARC MONTY,"Avenue  Monty (MTN) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Pataugeoire,MONTRÉAL-NORD,,75.0,0.0,75.0,,,,,0.5,0.5,76.80890165676075,High,0.7,0.5,0.5,0.5,0.9,0.1,0,0.0,,
4281,CENTRE LORNE,"2390 Rue  Ryde , Montréal",LOCATAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,SUD-OUEST,1923.0,1624.23,,1470.0,2.0,0.0,0.0,,0.5,0.5,83.62570677849052,Critical,1.0,0.5,0.6587881179307493,0.5,0.7,0.2,0,26.750585619666523,101.0,> 100 ans
4286,REMISE JARDIN DU PARC BEAUBIEN (OUT),"461 Chemin de la Côte-Sainte-Catherine , Montréal",PROPRIÉTAIRE,Installation externe,Loisir communautaire,Abri fermé,OUTREMONT,,7.25,7.25,7.25,1.0,,,,0.5,0.5,10.293487727846326,Low,0.7,0.15274232475832086,0.3631855811895802,0.5,0.2,0.1,0,0.046079170613427985,,
4288,REMISE À PATAUGEOIRE DU PARC PILON,"Avenue des Récollets (MTN) , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Abri fermé,MONTRÉAL-NORD,1970.0,7.3,0.0,7.3,1.0,,,,0.5,0.5,73.91001436385585,High,0.8,0.5,0.47500000000000003,0.5,0.9,0.1,0,0.0,54.0,40-60 ans
4297,ABRI PISCINE EXT. DU PARC MARLBOROUGH,"Rue  Beauzèle (SLR) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Abri fermé,SAINT-LAURENT,,13.0,0.0,8.4,1.0,,,,0.5,0.5,53.617803313521534,Medium,0.7,0.5,0.45,0.5,0.6,0.1,0,0.0,,
4301,TOUR D'EAU CHÂTEAU D'EAU DUKE OF KENT,"180 Avenue  Duke-of-Kent (PCL) , Montréal",PROPRIÉTAIRE,Installation externe,Industriel,Réservoir d'eau,POINTE-CLAIRE,,228.0,228.0,228.0,,,,,0.5,0.5,46.400940258357934,Medium,0.7,0.39330591372331464,0.4644353045744382,0.5,0.5,0.1,0,1.8530968652520083,,
4302,CHALET DU PARC HÉBERT (PÉTANQUE),"Rue  Beyries (LSL) , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,LASALLE,,38.1,0.0,38.1,1.0,,,,0.5,0.5,53.617803313521534,Medium,0.7,0.5,0.45,0.5,0.6,0.1,0,0.0,,
4307,ÉCOLE LÉONARDO-DE-VINCI,"12025 Avenue  André-Dumas , Montréal",LOCATAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,R-D-P / P-A-T,,2619.0,2619.0,2619.0,3.0,,,,0.5,0.5,72.15426743808774,High,0.7,0.5697168818866242,0.642429220471656,0.5,0.5,0.30000000000000004,0,29.44413724726717,,
4308,ENTREPÔT NON CHAUFFÉ - LASALLE,"7277 Rue  Cordner (LSL) , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Entrepôt non-chauffé,LASALLE,,361.1,0.0,361.1,1.0,,,,0.5,0.5,53.617803313521534,Medium,0.7,0.5,0.45,0.5,0.6,0.1,0,0.0,,
4312,PATAUGEOIRE DU PARC PIE-XII,"Boulevard  Lavoisier (SLN) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Pataugeoire,SAINT-LÉONARD,1968.0,167.0,0.0,167.0,,,,,0.5,0.5,63.280760956537875,High,0.8,0.5,0.5333333333333333,0.5,0.6,0.1,0,0.0,56.0,40-60 ans
4313,JEU D'EAU DU PARC OTTAWA,"Avenue  Lausanne (MTN) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,MONTRÉAL-NORD,,170.0,0.0,170.0,,,,,0.5,0.5,76.80890165676075,High,0.7,0.5,0.5,0.5,0.9,0.1,0,0.0,,
4314,JEU D'EAU DU PARC COONEY,"1175 Rue  Melrose (VRD) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,VERDUN,2009.0,168.11,168.11,168.11,,,,,0.5,0.5,35.25365029729029,Low,0.3,0.37136154825664175,0.3237871827522139,0.5,0.6,0.1,0,0.4082389746935601,15.0,< 20 ans
4316,EX.PATAU.JEU D'EAU DU PARC WILLIBRORD,"800 Rue  Willibrord (VRD) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,VERDUN,2008.0,239.89,239.89,239.89,,,,,0.5,0.5,36.98581014076879,Low,0.3,0.3969697952709557,0.33232326509031856,0.5,0.6,0.1,0,0.5979077104688739,16.0,< 20 ans
